Rank,Player_Name,Jersey_Number,Nation_Code,Position,Club,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Min_Equivalents,Goals,Assists,Goals_Assists,NonPK_Goals,Penalties_Scored,Penalties_Attempted,Yellow_Cards,Red_Cards,Expected_Goals,NonPK_xG,Expected_Assists,NonPK_xG_xAG,Prog_Carries,Prog_Passes,Prog_Received,Goals_per90,Assists_per90,GA_per90,NonPK_Goals_per90,NonPK_GA_per90,xG_per90,xAG_per90,xG_xAG_per90,NonPK_xG_per90,NonPK_xG_xAG_per90,Competition
1,Ousmane Dembele,10,FRA,FW,Paris S-G,27,1997,29,20,1730,19.2,21,6,27,20,1,1,1,0,16.6,15.8,8.2,24,127,137,252,1.09,0.31,1.4,1.04,1.35,0.86,0.43,1.29,0.82,1.25,Ligue 1
2,Lamine Yamal,19,ESP,FW,Barcelona,17,2007,35,31,2856,31.7,9,13,22,9,0,0,3,0,9.8,9.8,13.9,23.8,181,160,433,0.28,0.41,0.69,0.28,0.69,0.31,0.44,0.75,0.31,0.75,La Liga
3,Vitinha,17,POR,MF,Paris S-G,24,2000,29,20,2042,22.7,5,1,6,3,2,2,1,0,3.4,1.8,2.6,4.4,53,224,57,0.22,0.04,0.26,0.13,0.18,0.15,0.11,0.27,0.08,0.2,Ligue 1
4,Mohamed Salah,11,EGY,FW,Liverpool,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,155,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Premier League
5,Raphinha,11,BRA,"FW,MF",Barcelona,27,1996,36,32,2839,31.5,18,9,27,16,2,2,4,0,19.2,17.6,12.7,30.3,94,135,349,0.57,0.29,0.86,0.51,0.79,0.61,0.4,1.01,0.56,0.96,La Liga
6,Achraf Hakimi,2,MAR,DF,Paris S-G,25,1998,25,24,2066,23,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,273,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4,Ligue 1
7,Harry Kane,9,ENG,FW,Bayern Munich,31,1993,31,28,2381,26.5,26,9,35,17,9,9,5,0,20.3,13.3,5.3,18.6,29,97,143,0.98,0.34,1.32,0.64,0.98,0.77,0.2,0.97,0.5,0.7,Bundesliga
8,Kylian Mbappe,9,FRA,FW,Real Madrid,25,1998,34,34,2907,32.3,31,3,34,24,7,9,3,1,25.9,18.6,7.7,26.3,150,140,386,0.96,0.09,1.05,0.74,0.84,0.8,0.24,1.04,0.58,0.81,La Liga
9,Desire Doue,14,FRA,"FW,MF",Paris S-G,19,2005,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67,Ligue 1
10,Khvicha Kvaratskhelia,7,GEO,FW,Paris S-G,23,2001,31,28,2094,23.3,9,6,15,8,1,1,1,0,7.4,6.7,8.6,15.2,124,100,220,0.4,0.3,0.65,0.35,0.61,0.32,0.38,0.7,0.29,0.67,Ligue 1
